"name","bio"
"Diana Walsh Pasulka","Diana Walsh Pasulka is a professor of philosophy and religion at UNCW and author of American Cosmic: UFOs, Religion, and Technology"
"Brian Muraresku","Brian Muraresku is the author of The Immortality Key"
"John Hopfield","John Hopfield is professor at Princeton, whose life's work weaved beautifully through biology, chemistry, neuroscience, and physics"
"George Hotz",""
"RZA","RZA is a rapper, record producer, filmmaker, actor, writer, philosopher, and the mastermind of the legendary hip hop group Wu-Tang Clan"
"Dmitri Dolgov","Dmitri Dolgov is the CTO of Waymo, an autonomous vehicle company"
"Eric Schmidt",""
"Michael Malice","Michael Malice is a political thinker, podcaster, and author"
"Eric Weinstein","Eric Weinstein is a mathematician with a bold and piercing intelligence, unafraid to explore the biggest questions in the universe and shine a light on the darkest corners of our society"
"Scott Aaronson","Scott Aaronson is a professor at UT Austin, director of its Quantum Information Center, and previously a professor at MIT"
"Barry Barish","Barry Barish is a theoretical physicist at Caltech and the winner of the Nobel Prize in Physics"
"Jim Gates",""
"Jay McClelland","Jay McClelland is a cognitive scientist at Stanford"
"Vladimir Vapnik","Vladimir Vapnik is the co-inventor of support vector machines, support vector clustering, VC theory, and many foundational ideas in statistical learning"
"Avi Loeb","Avi Loeb is an astrophysicist at Harvard"
"Ray Dalio",""
"Dan Kokotov","Dan Kokotov is VP of Engineering at Rev"
"Brendan Eich","Brendan Eich is the creator of JavaScript and co-founder of Mozilla and Brave"
"Simon Sinek","Simon Sinek is an author of several books including Start With Why, Leaders Eat Last, and his latest The Infinite Game"
"Leonard Susskind",""
"David Ferrucci",""
"Melanie Mitchell",""
"Dmitry Korkin","Dmitry Korkin is a professor of bioinformatics and computational biology at Worcester Polytechnic Institute, where he specializes in bioinformatics of complex disease, computational genomics, systems biology, and biomedical data analytics"
"Alex Garland","Alex Garland, writer and director of many imaginative and philosophical films from the dreamlike exploration of human self-destruction in the movie Annihilation to the deep questions of consciousness and intelligence raised in the movie Ex Machina, which to me is one of the greatest movies on artificial intelligence ever made"
"Jeff Hawkins",""
"Natalya Bailey","Natalya Bailey is a rocket propulsion engineer from MIT and now CTO of Accion Systems"
"Zev Weinstein","Zev Weinstein is a young man who thinks deeply about the world"
"Regina Barzilay",""
"Sean Carroll",""
"Peter Norvig",""
"Michael Littman","Michael Littman is a computer scientist at Brown University"
"Noam Chomsky",""
"Vitalik Buterin","Vitalik Buterin is the co-founder of Ethereum"
"Tuomas Sandholm",""
"Jed Buchwald","Jed Buchwald is a historian and philosopher of science at Caltech"
"Dan Gable","Dan Gable is one of the greatest Olympic athletes and wrestling coaches of all time"
"John Danaher","John Danaher is a coach, scholar, and educator of jiu jitsu, submission grappling, judo, MMA, and the martial arts"
"William MacAskill","William MacAskill is a philosopher, ethicist, and one of the originators of the effective altruism movement"
"Elon Musk",""
"John Clarke","John Clarke is a BJJ black belt and MMA coach"
"Dileep George","Dileep George is a researcher at the intersection of neuroscience and artificial intelligence, co-founder of Vicarious, formerly co-founder of Numenta"
"Joe Rogan","Joe Rogan is a comedian, UFC commentator, and the host of the Joe Rogan Experience"
"Katherine de Kleer","Katherine de Kleer is a professor of Planetary Science and Astronomy at Caltech"
"Scott Aaronson","Scott Aaronson is a quantum computer scientist"
"Sean Carroll",""
"Max Tegmark",""
"Chris Urmson",""
"Fran","François Chollet is an AI researcher at Google and creator of Keras"
"Andrew Ng","Andrew Ng is one of the most impactful educators, researchers, innovators, and leaders in artificial intelligence and technology space in general"
"Charles Isbell and Michael Littman","Charles Isbell is the Dean of the College of Computing at Georgia Tech"
"Keoki Jackson",""
"Paola Arlotta",""
"Stephen Wolfram","Stephen Wolfram is a computer scientist, mathematician, and theoretical physicist who is the founder and CEO of Wolfram Research, a company behind Mathematica, Wolfram Alpha, Wolfram Language, and the new Wolfram Physics project"
"Silvio Micali","Silvio Micali is a computer scientist at MIT, Turing award winner, and founder of Algorand"
"Ryan Hall","Ryan Hall is a jiu jitsu black belt, UFC fighter, and a philosopher of the martial arts"
"Eric Weinstein",""
"Rodney Brooks","Rodney Brooks is a roboticist, former head of CSAIL at MIT, and co-founder of iRobot, Rethink Robotics, and Robust"
"Sheldon Solomon","Sheldon Solomon is a social psychologist, a philosopher, co-developer of Terror Management Theory, co-author of The Worm at the Core"
"Tomaso Poggio",""
"Manolis Kellis","Manolis Kellis is a computational biologist at MIT"
"Cumrun Vafa","Cumrun Vafa is a theoretical physicist at Harvard"
"Matthew Johnson","Matthew W"
"Richard Craib","Richard Craib is the founder of Numerai, a crowd-sourced, AI-run stock trading system"
"Jitendra Malik","Jitendra Malik is a professor at Berkeley and one of the seminal figures in the field of computer vision, the kind before the deep learning revolution, and the kind after"
